fold,macro_f1,negative_f1,positive_f1
1,0.9017920451556576,0.9009081735620585,0.9026759167492567
2,0.896194913550764,0.8954682779456193,0.8969215491559086
3,0.8972807206184529,0.8958734664909257,0.8986879747459801
4,0.8987818252645445,0.8974255017230894,0.9001381488059996
5,0.9027781250781426,0.9013197969543147,0.9042364532019704
